,code_grade_NEG,libelle_grade_neg,code_nomenclature_net_neh,libelle_NET_NEH,date_effet,date_fin,indice_brut,rang_echelon,code_etat,libelle_NEG_rempl,libelle_NET_NEH_rempl,code_NETH_rempl,libelle_statut
55915,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1975,30/06/1976,362,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55916,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1975,30/06/1976,428,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55917,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1975,30/06/1976,489,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55918,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1975,30/06/1976,548,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55919,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1975,30/06/1976,605,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55920,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1975,30/06/1976,665,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55921,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1975,30/06/1976,725,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55922,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1975,30/06/1976,785,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55923,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1976,31/07/1977,370,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55924,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1976,31/07/1977,436,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55925,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1976,31/07/1977,496,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55926,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1976,31/07/1977,554,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55927,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1976,31/07/1977,605,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55928,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1976,31/07/1977,665,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55929,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1976,31/07/1977,725,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55930,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01JUL1976,31/07/1977,785,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55931,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01AUG1977,31/12/2088,379,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55932,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01AUG1977,31/12/2088,441,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55933,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01AUG1977,31/12/2088,503,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55934,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01AUG1977,31/12/2088,574,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55935,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01AUG1977,31/12/2088,633,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55936,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01AUG1977,31/12/2088,681,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55937,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01AUG1977,31/12/2088,741,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55938,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,01AUG1977,31/12/2088,801,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55939,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,05NOV1959,31/12/1966,300,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55940,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,05NOV1959,31/12/1966,340,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55941,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,05NOV1959,31/12/1966,375,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55942,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,05NOV1959,31/12/1966,410,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55943,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,05NOV1959,31/12/1966,445,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55944,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,05NOV1959,31/12/1966,480,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55945,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,05NOV1959,31/12/1966,515,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55946,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,05NOV1959,31/12/1966,530,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55947,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JAN1967,30/11/1974,300,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
